A,B
"(140, -100, 5, 0)","[199.47444489055056, 0, 853]"
"(140, -100, 6, 0)","[199.4097412730759, 0, 392]"
"(140, -110, 7, 0)","[199.42187606291958, 0, 606]"
"(140, -120, 8, 0)","[199.39400012258315, 0, 773]"
"(140, -130, 9, 0)","[199.36507128194737, 0, 773]"
"(140, -140, 10, 0)","[199.33513228294424, 0, 775]"
"(140, -150, -9, 0)","[59.36378156911582, 0, 1]"
"(140, -140, -8, 0)","[199.18948786316597, 0, 168]"
"(140, -130, -7, 0)","[199.20753113808104, 0, 382]"
"(140, -130, -6, 0)","[57.740853846553, 0, 1]"
"(140, -120, -5, 0)","[199.14255471722495, 0, 309]"
"(140, -120, -4, 0)","[56.14835860135154, 0, 1]"
"(140, -110, -3, 0)","[199.06860144993456, 0, 557]"
"(130, -110, -2, 0)","[199.00276059425718, 0, 188]"
"(130, -110, -1, 0)","[199.00977037551178, 0, 309]"
"(130, -110, 0, 0)","[198.9633498468306, 0, 309]"
"(120, -110, 1, 0)","[198.87564452191168, 0, 188]"
"(120, -110, 2, 0)","[198.88482839829206, 0, 525]"
"(110, -120, 3, 0)","[44.34326428257935, 0, 1]"
"(110, -120, 4, 0)","[-15.056016008851483, 0, 44]"
"(110, -130, 5, 0)","[37.82122948268437, 0, 1]"
"(100, -130, 6, 0)","[73.57113693211383, 0, 4]"
"(100, -140, 7, 0)","[18.216632335029686, 0, 22]"
"(90, -150, 8, 0)","[23.274224999999994, 0, 1]"
"(90, -160, 9, 0)","[16.694999999999997, 0, 1]"
"(90, -170, 10, 0)","[-126.97285094644593, -850.9139937019336, 7]"
"(80, -180, 10, 0)","[-79.99834302273632, -933.4229014060857, 6]"
"(80, -240, 10, 0)","[-900.0, -11.344013447415662, 5]"
"(70, -240, 10, 0)","[61.742900482214225, 0, 1]"
"(420, 50, -9, 0)","[199.976703170479, 0, 386]"
"(420, 60, -8, 0)","[199.9856562465999, 0, 386]"
"(420, 60, -7, 0)","[199.97388624083146, 0, 368]"
"(350, 70, -6, 0)","[199.97240191604809, 0, 369]"
"(350, 70, -5, 0)","[199.97083129337742, 0, 375]"
"(350, 80, -4, 0)","[199.96927091557507, 0, 386]"
"(350, 80, -3, 0)","[199.9676387093433, 0, 369]"
"(350, 80, -2, 0)","[199.96607016791575, 0, 368]"
"(350, 80, -1, 0)","[199.96446402989974, 0, 375]"
"(350, 80, 0, 0)","[199.96281935795372, 0, 375]"
"(350, 80, 1, 0)","[199.96113297519062, 0, 368]"
"(350, 80, 2, 0)","[199.95939840811855, 0, 369]"
"(350, 80, 3, 0)","[199.95760450107935, 0, 386]"
"(350, 70, 4, 0)","[199.95573353210767, 0, 375]"
"(350, 70, 5, 0)","[199.9539736861825, 0, 369]"
"(350, 60, 6, 0)","[199.95215573858462, 0, 368]"
"(350, 60, 7, 0)","[199.95292408931795, 0, 386]"
"(350, 50, 8, 0)","[199.94889708878185, 0, 386]"
"(350, 40, 9, 0)","[199.94720183878508, 0, 369]"
"(350, 30, 10, 0)","[199.94572394723403, 0, 724]"
"(350, 20, 10, 0)","[199.9446705635445, 0, 719]"
"(280, 10, 10, 0)","[199.94912559201302, 0, 1012]"
"(280, 0, 10, 0)","[199.9470675657306, 0, 1362]"
"(280, -10, 10, 0)","[199.94495782236976, 0, 1742]"
"(280, -20, 10, 0)","[199.94280414569496, 0, 2094]"
"(280, -30, 10, 0)","[199.93984666824787, 0, 2460]"
"(280, -40, 10, 0)","[-484.78756778091076, 199.9366524832292, 2817]"
"(420, -50, -9, 0)","[199.95985821688907, 0, 369]"
"(420, -40, -8, 0)","[199.95744869094636, 0, 358]"
"(350, -30, -6, 0)","[199.95317947718587, 0, 373]"
"(350, -20, -4, 0)","[199.94856750922386, 0, 369]"
"(350, -20, 3, 0)","[199.9301682390494, 0, 369]"
"(350, -30, 5, 0)","[199.92427476246064, 0, 373]"
"(350, -40, 7, 0)","[199.9182928956908, 0, 358]"
"(350, -50, 8, 0)","[199.91515302940405, 0, 369]"
"(350, -60, 9, 0)","[199.91198231945333, 0, 373]"
"(140, -80, 2, 0)","[199.14627449565, 0, 80]"
"(140, -140, -9, 0)","[199.27256790970253, 0, 774]"
"(140, -130, -8, 0)","[199.24023988139845, 0, 607]"
"(140, -120, -7, 0)","[199.0773405246332, 0, 393]"
"(140, -120, -6, 0)","[199.17480313942627, 0, 774]"
"(140, -110, -5, 0)","[199.02355414688202, 0, 466]"
"(140, -110, -4, 0)","[199.10147270421078, 0, 774]"
"(130, -100, -2, 0)","[198.78900434827062, 0, 147]"
"(130, -100, -1, 0)","[198.77640652109727, 0, 370]"
"(130, -100, 0, 0)","[198.72598567329226, 0, 464]"
"(120, -100, 1, 0)","[198.49444679076345, 0, 147]"
"(120, -100, 2, 0)","[198.87422226198217, 0, 152]"
"(110, -110, 3, 0)","[-152.79892374340176, 198.8320924784661, 334]"
"(110, -110, 4, 0)","[-31.305086842314076, -827.2677338197982, 54]"
"(110, -120, 5, 0)","[-48.3108461767729, -835.6215394244771, 116]"
"(100, -120, 6, 0)","[-5.424484520856315, -849.422828973379, 6]"
"(100, -130, 7, 0)","[-79.67650504790615, -845.2381639273993, 67]"
"(90, -140, 8, 0)","[-37.121742039661626, -836.6839362567657, 8]"
"(90, -150, 9, 0)","[-3.0436863626909343, -838.5246721429263, 12]"
"(90, -160, 10, 0)","[-155.54860840359714, -826.6543079358768, 14]"
"(80, -170, 10, 0)","[-724.5986058056725, 83.85191893832183, 6]"
"(70, -170, -9, 0)","[49.11103477217257, 0, 1]"
"(70, -160, -8, 0)","[61.12390837644886, 0, 2]"
"(70, -150, -7, 0)","[55.47667752080506, 0, 2]"
