A,B
"(140, -100, -9, 0)","[199.56353148431128, 0, 875]"
"(140, -90, -8, 0)","[199.14417835862213, 0, 795]"
"(140, -80, -7, 0)","[199.11725032824805, 0, 730]"
"(140, -80, -6, 0)","[199.56345519868506, 0, 882]"
"(140, -70, -5, 0)","[198.99964919709663, 0, 762]"
"(140, -70, -4, 0)","[199.5735551908847, 0, 875]"
"(140, -70, -3, 0)","[199.6281742399066, 0, 466]"
"(140, -60, -2, 0)","[198.88916417901896, 0, 595]"
"(140, -60, -1, 0)","[198.75575605371057, 0, 602]"
"(140, -60, 0, 0)","[198.59018144768012, 0, 444]"
"(140, -60, 1, 0)","[198.10461733629376, 0, 365]"
"(130, -70, 2, 0)","[199.40863435367024, 0, 466]"
"(130, -70, 3, 0)","[198.14072801877475, 0, 285]"
"(130, -70, 4, 0)","[198.31953371085683, 0, 307]"
"(120, -80, 5, 0)","[-0.26885102524287463, 197.60933169681158, 145]"
"(120, -80, 6, 0)","[199.9202395166819, 0, 183]"
"(110, -90, 7, 0)","[199.62504410717807, -850.6315699611972, 164]"
"(110, -100, 8, 0)","[199.774228558209, -850.0949923168236, 44]"
"(110, -110, 9, 0)","[42.73207253234482, 0, 5]"
"(100, -120, 10, 0)","[-24.3649048791869, 151.31541353167893, 14]"
"(80, -160, -9, 0)","[-89.1534047000617, -193.02347707513692, 7]"
"(70, -150, -8, 0)","[-440.4673838880537, -412.31696296388066, 10]"
"(70, -140, -7, 0)","[-43.62208124375739, -651.9254906683286, 22]"
"(70, -140, -6, 0)","[-262.25905326246226, -474.2410653454761, 8]"
"(60, -130, -5, 0)","[-745.787236041657, -929.2415681092375, 10]"
"(60, -130, -4, 0)","[-376.63235042676166, -1866.605215542634, 4]"
"(50, -130, -3, 0)","[-455.75401058418464, -1112.8289659045997, 8]"
"(50, -120, -2, 0)","[-1114.4632419150473, -2016.9357674500097, 9]"
"(50, -120, -1, 0)","[23.274224999999994, 0, 1]"
"(40, -120, 0, 0)","[-1386.4256543865306, -2191.1578048774986, 4]"
"(40, -120, 1, 0)","[9.0, 0, 1]"
"(30, -130, 2, 0)","[-900.0, -900.0, 2]"
"(30, -130, 3, 0)","[-900.0, 164.55091883671707, 2]"
"(30, -130, 4, 0)","[62.84109449233501, 0, 1]"
"(420, 60, -9, 0)","[199.99668180131408, 0, 289]"
"(420, 70, -8, 0)","[199.99654561555263, 0, 299]"
"(420, 80, -7, 0)","[199.99604412264605, 0, 282]"
"(350, 80, -6, 0)","[199.99652840015852, 0, 291]"
"(350, 90, -5, 0)","[199.99582207194862, 0, 290]"
"(350, 90, -4, 0)","[199.9960042940557, 0, 289]"
"(350, 100, -3, 0)","[199.99467196313805, 0, 300]"
"(350, 100, -2, 0)","[199.99534792086666, 0, 282]"
"(350, 100, -1, 0)","[199.99519793187494, 0, 290]"
"(350, 100, 0, 0)","[199.99504263921415, 0, 290]"
"(350, 100, 1, 0)","[199.99488332964907, 0, 282]"
"(350, 100, 2, 0)","[199.99406785659775, 0, 300]"
"(350, 90, 3, 0)","[199.9947182466654, 0, 289]"
"(350, 90, 4, 0)","[199.9942646106856, 0, 290]"
